tag_id,mode,mac_address,device_name,byte_offset,collection_group,tag_name,data_type,scale,offset,decimals,unit,description
17,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,rssi,int16,1,0,,dBm,1호기 신호강도
18,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,version,uint16,1,0,,,1호기 펌웨어버전
19,pts-2305bp,F6:5A:83:C7:DB:C7,POSIOT,,ble_data,mode,uint16,1,0,,,1호기 동작모드
# === 2호기 (PTS-2305BP) F5:12:5E:BE:EE:12 ===
21,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,temperature,float32,1,0,2,℃,2호기 온도
22,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,humidity,float32,1,0,2,%,2호기 습도
23,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,pressure,float32,1,0,2,hPa,2호기 기압
24,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,battery,uint16,1,0,,,2호기 배터리
25,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,prob_temp,float32,1,0,2,℃,2호기 프로브온도
26,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,accel_rms_x,float32,1,0,3,g,2호기 가속도X
27,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,accel_rms_y,float32,1,0,3,g,2호기 가속도Y
28,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,accel_rms_z,float32,1,0,3,g,2호기 가속도Z
29,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,velocity_rms_under_1k,float32,1,0,3,mm/s,2호기 속도RMS
30,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,accel_rms_1k_5k,float32,1,0,3,g,2호기 가속도1-5k
31,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,vibration_peak,uint16,1,0,,,2호기 진동피크
32,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,harmony_cnt_under_1k,uint16,1,0,,,2호기 고조파수<1k
33,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,harmony_cnt_1k_5k,uint16,1,0,,,2호기 고조파수1-5k
34,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,gravity_mag_xyz,uint16,1,0,,,2호기 중력크기
35,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,sound_db,uint16,1,0,,dB,2호기 소음
36,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,sound_peak,uint16,1,0,,,2호기 소음피크
37,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,rssi,int16,1,0,,dBm,2호기 신호강도
38,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,version,uint16,1,0,,,2호기 펌웨어버전
39,pts-2305bp,F5:12:5E:BE:EE:12,POSIOT,,ble_data,mode,uint16,1,0,,,2호기 동작모드
# === 3호기 (PTS-0624B) E5:79:FD:DB:0A:38 ===
41,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,temperature,float32,1,0,2,℃,3호기 온도
42,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,humidity,float32,1,0,2,%,3호기 습도
43,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,sound_db,uint16,1,0,,dB,3호기 소음
44,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,velocity_rms,uint16,1,0,,mm/s,3호기 속도RMS
45,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,accel_x,int16,1,0,,mg,3호기 가속도X
46,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,accel_y,int16,1,0,,mg,3호기 가속도Y
47,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,accel_z,int16,1,0,,mg,3호기 가속도Z
48,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,vib_fft_freq,uint16,1,0,,Hz,3호기 진동FFT주파수
49,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,sound_fft_freq,uint16,1,0,,Hz,3호기 소음FFT주파수
50,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,probe,float32,1,0,2,,3호기 프로브
51,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,battery,uint8,1,0,,%,3호기 배터리
52,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,rssi,int16,1,0,,dBm,3호기 신호강도
53,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,version,uint16,1,0,,,3호기 펌웨어버전
54,pts-0624b,E5:79:FD:DB:0A:38,POSIOT,,ble_data,mode,uint16,1,0,,,3호기 동작모드
